Id,SalePrice
1461,138500.0
1462,155000.0
1463,233000.0
1464,225000.0
1465,155900.0
1466,181000.0
1467,130000.0
1468,186500.0
1469,180000.0
1470,138500.0
1471,215000.0
1472,106000.0
1473,83500.0
1474,205000.0
1475,108480.0
1476,239900.0
1477,116900.0
1478,423000.0
1479,271000.0
1480,360000.0
1481,275000.0
1482,257000.0
1483,140000.0
1484,176000.0
1485,180000.0
1486,155835.0
1487,183500.0
1488,174000.0
1489,140000.0
1490,260400.0
1491,149000.0
1492,73000.0
1493,232000.0
1494,290000.0
1495,248000.0
1496,222000.0
1497,151000.0
1498,168500.0
1499,140000.0
1500,176000.0
1501,176000.0
1502,176000.0
1503,257000.0
1504,253000.0
1505,260400.0
1506,175000.0
1507,235000.0
1508,172500.0
1509,158000.0
1510,143000.0
1511,143000.0
1512,153500.0
1513,140000.0
1514,200500.0
1515,145000.0
1516,157900.0
1517,206300.0
1518,139900.0
1519,175500.0
1520,122000.0
1521,148000.0
1522,145250.0
1523,116050.0
1524,139000.0
1525,153500.0
1526,91000.0
1527,89000.0
1528,147000.0
1529,120000.0
1530,217500.0
1531,190000.0
1532,141000.0
1533,143500.0
1534,117000.0
1535,215000.0
1536,128000.0
1537,67000.0
1538,128000.0
1539,117000.0
1540,108000.0
1541,147000.0
1542,139950.0
1543,315000.0
1544,117500.0
1545,117500.0
1546,187500.0
1547,108000.0
1548,115000.0
1549,112500.0
1550,145000.0
1551,193500.0
1552,184000.0
1553,127000.0
1554,132000.0
1555,207500.0
1556,60000.0
1557,88000.0
1558,110000.0
1559,85000.0
1560,157900.0
1561,115000.0
1562,124500.0
1563,132500.0
1564,206300.0
1565,150900.0
1566,251000.0
1567,93000.0
1568,222500.0
1569,200624.0
1570,202500.0
1571,145000.0
1572,127000.0
1573,203000.0
1574,110000.0
1575,220000.0
1576,290000.0
1577,118000.0
1578,117000.0
1579,173000.0
1580,205000.0
1581,146000.0
1582,143000.0
1583,255000.0
1584,190000.0
1585,149300.0
1586,90000.0
1587,149350.0
1588,152000.0
1589,116050.0
1590,132500.0
1591,34900.0
1592,131500.0
1593,131500.0
1594,106250.0
1595,81000.0
1596,268000.0
1597,259500.0
1598,197000.0
1599,328900.0
1600,221000.0
1601,83000.0
1602,138500.0
1603,109900.0
1604,372402.0
1605,253000.0
1606,127000.0
1607,127500.0
1608,169990.0
1609,140000.0
1610,120000.0
1611,158000.0
1612,99500.0
1613,176000.0
1614,217000.0
1615,109500.0
1616,79000.0
1617,147000.0
1618,129900.0
1619,131000.0
1620,108000.0
1621,159500.0
1622,105000.0
1623,301500.0
1624,188000.0
1625,115000.0
1626,181000.0
1627,225000.0
1628,305000.0
1629,180000.0
1630,423000.0
1631,168500.0
1632,118000.0
1633,180000.0
1634,188000.0
1635,188000.0
1636,176000.0
1637,148500.0
1638,200000.0
1639,181000.0
1640,315000.0
1641,157000.0
1642,267000.0
1643,183500.0
1644,260000.0
1645,175000.0
1646,193500.0
1647,193500.0
1648,100000.0
1649,132500.0
1650,124500.0
1651,149900.0
1652,100000.0
1653,106000.0
1654,140000.0
1655,159500.0
1656,140000.0
1657,140000.0
1658,140000.0
1659,139000.0
1660,159500.0
1661,437154.0
1662,302000.0
1663,423000.0
1664,360000.0
1665,264132.0
1666,423000.0
1667,437154.0
1668,423000.0
1669,264561.0
1670,423000.0
1671,244000.0
1672,278000.0
1673,250000.0
1674,174000.0
1675,192500.0
1676,221000.0
1677,260400.0
1678,386250.0
1679,423000.0
1680,367294.0
1681,264132.0
1682,423000.0
1683,176000.0
1684,195000.0
1685,155835.0
1686,192500.0
1687,170000.0
1688,155835.0
1689,248000.0
1690,225000.0
1691,216500.0
1692,302000.0
1693,151000.0
1694,193000.0
1695,170000.0
1696,205000.0
1697,170000.0
1698,359100.0
1699,232000.0
1700,216500.0
1701,253000.0
1702,187750.0
1703,250000.0
1704,290000.0
1705,280000.0
1706,402861.0
1707,140000.0
1708,115000.0
1709,372500.0
1710,191000.0
1711,302000.0
1712,250000.0
1713,216837.0
1714,167000.0
1715,149500.0
1716,140000.0
1717,118000.0
1718,79000.0
1719,149000.0
1720,196000.0
1721,140000.0
1722,79000.0
1723,129900.0
1724,140000.0
1725,205000.0
1726,223500.0
1727,140000.0
1728,169000.0
1729,106000.0
1730,112000.0
1731,112500.0
1732,129900.0
1733,83000.0
1734,100000.0
1735,136500.0
1736,130000.0
1737,201000.0
1738,164000.0
1739,174000.0
1740,176000.0
1741,179900.0
1742,176000.0
1743,149500.0
1744,350000.0
1745,141000.0
1746,170000.0
1747,240000.0
1748,265979.0
1749,175000.0
1750,138500.0
1751,402000.0
1752,153500.0
1753,139000.0
1754,235000.0
1755,206300.0
1756,132500.0
1757,105000.0
1758,188000.0
1759,188000.0
1760,177500.0
1761,145000.0
1762,229000.0
1763,175000.0
1764,138500.0
1765,100000.0
1766,145000.0
1767,202500.0
1768,135000.0
1769,159500.0
1770,151000.0
1771,122000.0
1772,153500.0
1773,190000.0
1774,139900.0
1775,132500.0
1776,103000.0
1777,144000.0
1778,146000.0
1779,108000.0
1780,263435.0
1781,130000.0
1782,82000.0
1783,153575.0
1784,116000.0
1785,125500.0
1786,143900.0
1787,128000.0
1788,52000.0
1789,108480.0
1790,82000.0
1791,180500.0
1792,139950.0
1793,134000.0
1794,156000.0
1795,132000.0
1796,179600.0
1797,133500.0
1798,110000.0
1799,124500.0
1800,132500.0
1801,116000.0
1802,115000.0
1803,155000.0
1804,129500.0
1805,142000.0
1806,117000.0
1807,108000.0
1808,125500.0
1809,127000.0
1810,229000.0
1811,96500.0
1812,79000.0
1813,127000.0
1814,80000.0
1815,82000.0
1816,109900.0
1817,75000.0
1818,165000.0
1819,205950.0
1820,67000.0
1821,117000.0
1822,132000.0
1823,52500.0
1824,233170.0
1825,142000.0
1826,148000.0
1827,110000.0
1828,145000.0
1829,115000.0
1830,165000.0
1831,157500.0
1832,108000.0
1833,152000.0
1834,128000.0
1835,128000.0
1836,109000.0
1837,118500.0
1838,130000.0
1839,91300.0
1840,179000.0
1841,123000.0
1842,115000.0
1843,155000.0
1844,175000.0
1845,214500.0
1846,167500.0
1847,214500.0
1848,82000.0
1849,90000.0
1850,122000.0
1851,194500.0
1852,214000.0
1853,128500.0
1854,140000.0
1855,129000.0
